Scénario,Couple,Culture,variété 23-24,Type de plantations 23-24,Coûts de Main d'oeuvre,Coûts variable par hectar,Vitesse de main d'œuvre kg/personne/jour
1,Framboise,YAZMIN-TP,YAZMIN,TP,7.33,778856.0,15
2,Framboise,YAZMIN-TP,YAZMIN,TP,7.33,778856.0,15
3,Framboise,YAZMIN-TP,YAZMIN,TP,7.33,778856.0,15
4,Framboise,YAZMIN-MD+CB,YAZMIN,MD+CB,7.33,768910.0,16
5,Framboise,YAZMIN-MD+CB,YAZMIN,MD+CB,7.33,768910.0,16
8,Framboise,Adelita-TP,Adelita,TP,7.33,778856.0,14
9,Framboise,Adelita-TP,Adelita,TP,7.33,778856.0,14
10,Framboise,Adelita-TP,Adelita,TP,7.33,778856.0,14
11,Mure,Mure-VIC-LCST,VICTORIA,Long canne ST,7.86,959868.57,20
12,Mure,Mure-LAU-LCST,LAURITA,Long canne ST,7.86,959868.57,14
13,Mure,Mure-LAU-LCST,LAURITA,Long canne ST,7.86,959868.57,14
14,Mure,Mure-LAU-MD1,LAURITA,MD,7.86,959868.57,14
15,Mure,Mure-LAU-MD1,LAURITA,MD,7.86,959868.57,14
18,Mure,Mure-CLA-LCI,Clara,Long canne interne,7.86,552465.0,14
19,Mure,Mure-Hen-MD1,Henrienta,MD1,7.86,959868.57,14
